,date,"회사채(3년,AA-)"
0,19950103,14.25
1,19950104,14.3
2,19950105,14.42
3,19950106,14.45
4,19950107,14.45
5,19950109,14.45
6,19950110,14.47
7,19950111,14.5
8,19950112,14.67
9,19950113,15.0
10,19950114,15.0
11,19950116,15.1
12,19950117,15.1
13,19950118,15.1
14,19950119,15.1
15,19950120,15.08
16,19950121,15.08
17,19950123,15.2
18,19950124,15.2
19,19950125,15.2
20,19950126,15.2
21,19950127,15.2
22,19950128,15.2
23,19950202,15.23
24,19950203,15.23
25,19950204,15.25
26,19950206,15.25
27,19950207,15.25
28,19950208,15.25
29,19950209,15.25
30,19950210,15.3
31,19950211,15.3
32,19950213,15.32
33,19950214,15.35
34,19950215,15.35
35,19950216,15.4
36,19950217,15.4
37,19950218,15.4
38,19950220,15.4
39,19950221,15.4
40,19950222,15.3
41,19950223,15.4
42,19950224,15.4
43,19950225,15.4
44,19950227,15.4
45,19950228,15.45
46,19950302,15.5
47,19950303,15.5
48,19950304,15.5
49,19950306,15.49
50,19950307,15.45
51,19950308,15.35
52,19950309,15.3
53,19950310,15.3
54,19950311,15.3
55,19950313,15.3
56,19950314,15.3
57,19950315,15.25
58,19950316,15.2
59,19950317,15.1
60,19950318,15.0
61,19950320,14.8
62,19950321,14.8
63,19950322,14.8
64,19950323,14.6
65,19950324,14.45
66,19950325,14.45
67,19950327,14.5
68,19950328,14.5
69,19950329,14.4
70,19950330,14.2
71,19950331,14.2
72,19950401,14.2
73,19950403,14.2
74,19950404,14.28
75,19950406,14.53
76,19950407,14.65
77,19950408,14.65
78,19950410,14.75
79,19950411,14.9
80,19950412,14.98
81,19950413,14.8
82,19950414,14.6
83,19950415,14.5
84,19950417,14.5
85,19950418,14.64
86,19950419,14.65
87,19950420,14.7
88,19950421,14.85
89,19950422,14.9
90,19950424,14.85
91,19950425,14.85
92,19950426,14.85
93,19950427,14.8
94,19950428,14.7
95,19950429,14.7
96,19950502,14.8
97,19950503,14.88
98,19950504,14.84
99,19950506,14.75
100,19950508,14.8
101,19950509,14.8
102,19950510,14.82
103,19950511,14.87
104,19950512,14.91
105,19950513,14.91
106,19950515,14.97
107,19950516,14.92
108,19950517,14.9
109,19950518,14.9
110,19950519,14.89
111,19950520,14.89
112,19950522,14.9
113,19950523,14.9
114,19950524,14.95
115,19950525,15.0
116,19950526,15.0
117,19950527,15.0
118,19950529,15.0
119,19950530,15.0
120,19950531,14.97
121,19950601,14.93
122,19950602,14.87
123,19950603,14.79
124,19950605,14.7
125,19950607,14.7
126,19950608,14.7
127,19950609,14.63
128,19950610,14.58
129,19950612,14.49
130,19950613,14.53
131,19950614,14.63
132,19950615,14.73
133,19950616,14.63
134,19950617,14.63
135,19950619,14.61
136,19950620,14.64
137,19950621,14.67
138,19950622,14.7
139,19950623,14.63
140,19950624,14.62
141,19950626,14.68
142,19950628,14.68
143,19950629,14.66
144,19950630,14.66
145,19950701,14.66
146,19950703,14.56
147,19950704,14.53
148,19950705,14.48
149,19950706,14.39
150,19950707,14.32
151,19950708,14.42
152,19950710,14.36
153,19950711,14.33
154,19950712,14.15
155,19950713,14.1
156,19950714,14.05
157,19950715,14.05
158,19950718,13.9
159,19950719,13.87
160,19950720,13.93
161,19950721,14.1
162,19950722,14.1
163,19950724,14.1
164,19950725,14.03
165,19950726,14.07
166,19950727,14.03
167,19950728,13.88
168,19950729,13.83
169,19950731,13.9
170,19950801,13.9
171,19950802,13.96
172,19950803,13.9
173,19950804,13.8
174,19950805,13.75
175,19950807,13.65
176,19950808,13.48
177,19950809,13.4
178,19950810,13.44
179,19950811,13.32
180,19950812,13.3
181,19950814,13.26
182,19950816,13.05
183,19950817,12.77
184,19950818,12.43
185,19950819,12.3
186,19950821,12.58
187,19950822,12.9
188,19950823,13.03
189,19950824,13.15
190,19950825,13.1
191,19950826,13.12
192,19950828,13.1
193,19950829,13.05
194,19950830,13.07
195,19950831,12.98
196,19950901,12.98
197,19950902,12.98
198,19950904,12.88
199,19950905,12.85
200,19950906,12.98
201,19950907,13.25
202,19950911,13.11
203,19950912,13.13
204,19950913,13.17
205,19950914,13.22
206,19950915,13.24
207,19950916,13.24
208,19950918,13.13
209,19950919,12.9
210,19950920,12.7
211,19950921,12.83
212,19950922,12.8
213,19950923,12.75
214,19950925,12.73
215,19950926,12.7
216,19950927,12.65
217,19950928,12.56
218,19950929,12.62
219,19950930,12.55
220,19951002,12.4
221,19951004,12.35
222,19951005,12.35
223,19951006,12.35
224,19951007,12.34
225,19951009,12.25
226,19951010,12.13
227,19951011,12.13
228,19951012,12.13
229,19951013,12.12
230,19951014,12.14
231,19951016,12.2
232,19951017,12.22
233,19951018,12.22
234,19951019,12.18
235,19951020,12.06
236,19951021,12.03
237,19951023,12.08
238,19951024,12.1
239,19951025,12.08
240,19951026,12.05
241,19951027,12.05
242,19951028,12.05
243,19951030,12.05
244,19951031,12.03
245,19951101,11.95
246,19951102,11.93
247,19951103,11.98
248,19951104,12.0
249,19951106,12.04
250,19951107,12.01
251,19951108,12.02
252,19951109,12.05
253,19951110,12.07
254,19951111,12.07
255,19951113,12.08
256,19951114,12.08
257,19951115,12.08
258,19951116,12.08
259,19951117,12.08
260,19951118,12.08
261,19951120,12.08
262,19951121,12.06
263,19951122,12.05
264,19951123,12.0
265,19951124,11.95
266,19951125,11.91
267,19951127,11.81
268,19951128,11.77
269,19951129,11.75
270,19951130,11.66
271,19951201,11.55
272,19951202,11.52
273,19951204,11.5
274,19951205,11.55
275,19951206,11.56
276,19951207,11.62
277,19951208,11.58
278,19951209,11.58
279,19951211,11.52
280,19951212,11.53
281,19951213,11.47
282,19951214,11.38
283,19951215,11.42
284,19951216,11.42
285,19951218,11.44
286,19951219,11.57
287,19951220,11.67
288,19951221,11.88
289,19951222,11.88
290,19951223,11.83
291,19951226,11.9
292,19951227,11.95
293,19951228,11.98
294,19951229,11.93
295,19951230,11.93
296,19960103,11.88
297,19960104,11.9
298,19960105,11.94
299,19960106,11.9
300,19960108,11.9
301,19960109,11.9
302,19960110,11.91
303,19960111,11.88
304,19960112,11.9
305,19960113,11.9
306,19960115,11.93
307,19960116,11.97
308,19960117,12.05
309,19960118,12.15
310,19960119,12.15
311,19960120,12.13
312,19960122,12.05
313,19960123,12.08
314,19960124,12.1
315,19960125,12.13
316,19960126,12.1
317,19960127,12.1
318,19960129,12.09
319,19960130,12.06
320,19960131,12.04
321,19960201,12.01
322,19960202,12.0
323,19960203,12.05
324,19960205,12.07
325,19960206,12.0
326,19960207,11.93
327,19960208,11.92
328,19960209,11.91
329,19960210,11.91
330,19960212,11.83
331,19960213,11.82
332,19960214,11.84
333,19960215,11.82
334,19960216,11.79
335,19960217,11.79
336,19960221,11.78
337,19960222,11.83
338,19960223,11.83
339,19960224,11.8
340,19960226,11.8
341,19960227,11.84
342,19960228,11.86
343,19960229,11.86
344,19960302,11.86
345,19960304,11.9
346,19960305,11.93
347,19960306,11.97
348,19960307,11.95
349,19960308,11.92
350,19960309,11.91
351,19960311,11.89
352,19960312,11.87
353,19960313,11.9
354,19960314,11.88
355,19960315,11.87
356,19960316,11.86
357,19960318,11.79
358,19960319,11.76
359,19960320,11.75
360,19960321,11.65
361,19960322,11.57
362,19960323,11.55
363,19960325,11.54
364,19960326,11.62
365,19960327,11.6
366,19960328,11.55
367,19960329,11.49
368,19960330,11.44
369,19960401,11.28
370,19960402,11.27
371,19960403,11.38
372,19960404,11.4
373,19960406,11.42
374,19960408,11.33
375,19960409,11.2
376,19960410,11.23
377,19960412,11.2
378,19960413,11.1
379,19960415,11.0
380,19960416,10.9
381,19960417,10.94
382,19960418,10.96
383,19960419,11.03
384,19960420,11.0
385,19960422,10.9
386,19960423,10.78
387,19960424,10.67
388,19960425,10.53
389,19960426,10.4
390,19960427,10.48
391,19960429,10.46
392,19960430,10.44
393,19960502,10.57
394,19960503,10.74
395,19960504,10.68
396,19960506,10.9
397,19960507,10.8
398,19960508,10.83
399,19960509,10.8
400,19960510,10.78
401,19960511,10.78
402,19960513,10.82
403,19960514,10.9
404,19960515,11.1
405,19960516,11.21
406,19960517,11.18
407,19960518,11.13
408,19960520,11.18
409,19960521,11.18
410,19960522,11.16
411,19960523,11.11
412,19960525,11.11
413,19960527,11.25
414,19960528,11.39
415,19960529,11.43
416,19960530,11.37
417,19960531,11.36
418,19960601,11.35
419,19960603,11.35
420,19960604,11.28
421,19960605,11.2
422,19960607,11.25
423,19960608,11.3
424,19960610,11.28
425,19960611,11.28
426,19960612,11.4
427,19960613,11.5
428,19960614,11.58
429,19960615,11.58
430,19960617,11.71
431,19960618,11.71
432,19960619,11.69
433,19960620,11.65
434,19960621,11.72
435,19960622,11.72
436,19960624,11.8
437,19960625,11.8
438,19960626,11.78
439,19960627,11.79
